Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
Binance Coin (BNB),2019-05-27 0:42,Buy,46.13239903,11.7411875,542.06,0.40654177,Binance,Binance,47712225
Binance Coin (BNB),2019-05-27 0:42,Buy,46.13355983,0.859355,39.67,0.02975615,Binance,Binance,47712226
Bitcoin (BTC),2019-05-27 0:42,Sell,11607.97117,0.04669685,542.06,0,Binance,Binance,47712225
Bitcoin (BTC),2019-05-27 0:42,Sell,11607.97117,0.0034179,39.67,0,Binance,Binance,47712226
Litecoin (LTC),2019-05-28 10:44,Buy,160.2453445,1,160.25,0,Coinbase,Coinbase,c75e49b3-b0d3-5920-bc09-b00b7d25365d
US Dollar (USD),2019-05-28 10:44,Sell,1.34863949,118.82,160.25,0,Coinbase,Coinbase,c75e49b3-b0d3-5920-bc09-b00b7d25365d
Litecoin (LTC),2019-05-28 10:51,Transfer Out,153.139705,0.99998476,153.14,0.00064319,Coinbase,LTC main (LMDL...tNWz),7f96630c4cfddc7c67e42423bbf99bf8c88737653c676da55c0ed2af8c66e35b
Litecoin (LTC),2019-05-28 10:51,Fee,153.139705,0.0000042,0,0,Coinbase,Coinbase,7f96630c4cfddc7c67e42423bbf99bf8c88737653c676da55c0ed2af8c66e35b
Litecoin (LTC),2019-05-28 10:52,Transfer In,159.9804882,0.99998476,159.98,0,Coinbase,LTC main (LMDL...tNWz),7f96630c4cfddc7c67e42423bbf99bf8c88737653c676da55c0ed2af8c66e35b
NEO,2019-05-29 19:32,Buy,18.37257873,12.25773,225.43,0.22543154,Binance,Binance,26630709
Bitcoin (BTC),2019-05-29 19:32,Sell,11657.72762,0.01933752,225.43,0,Binance,Binance,26630709
TrueUSD (TUSD),2019-05-30 0:46,Buy,1.34714535,105.762132,142.62,0.14261958,Binance,Binance,186959
Stellar (XLM),2019-05-30 0:46,Sell,0.18860035,756.2,142.62,0,Binance,Binance,186959
Stellar (XLM),2019-05-30 22:28,Buy,0.17482034,755.244,132.16,0.13216417,Binance,Binance,189704
